ID,stop word
SW001,සහ
SW002,සමග
SW003,සමඟ
SW004,අහා
SW005,ආහ්
SW006,ආ
SW007,ඕහෝ
SW008,අනේ
SW009,අඳෝ
SW010,අපොයි
SW011,අපෝ
SW012,අයියෝ
SW013,ආයි
SW014,ඌයි
SW015,චී
SW016,චිහ්
SW017,චික්
SW018,හෝ‍
SW019,දෝ
SW020,දෝහෝ
SW021,මෙන්
SW022,සේ
SW023,වැනි
SW024,බඳු
SW025,වන්
SW026,අයුරු
SW027,අයුරින්
SW028,ලෙස
SW029,වැඩි
SW030,ශ්‍රී
SW031,හා
SW032,ය
SW033,නිසා
SW034,නිසාවෙන්
SW035,බවට
SW036,බව
SW037,බවෙන්
SW038,නම්
SW039,වැඩි
SW040,සිට
SW041,දී
SW042,මහා
SW043,මහ
SW044,පමණ
SW045,පමණින්
SW046,පමන
SW047,වන
SW048,විට
SW049,විටින්
SW050,මේ
SW051,මෙලෙස
SW052,මෙයින්
SW053,ඇති
SW054,ලෙස
SW055,සිදු
SW056,වශයෙන්
SW057,යන
SW058,සඳහා
SW059,මගින්
SW060,හෝ‍
SW061,ඉතා
SW062,ඒ
SW063,එම
SW064,ද
SW065,අතර
SW066,විසින්
SW067,සමග
SW068,පිළිබඳව
SW069,පිළිබඳ
SW070,තුළ
SW071,බව
SW072,වැනි
SW073,මහ
SW074,මෙම
SW075,මෙහි
SW076,මේ
SW077,වෙත
SW078,වෙතින්
SW079,වෙතට
SW080,වෙනුවෙන්
SW081,වෙනුවට
SW082,වෙන
SW083,ගැන
SW084,නෑ
SW085,අනුව
SW086,නව
SW087,පිළිබඳ
SW088,විශේෂ
SW089,දැනට
SW090,එහෙන්
SW091,මෙහෙන්
SW092,එහේ
SW093,මෙහේ
SW094,ම
SW095,තවත්
SW096,තව
SW097,සහ
SW098,දක්වා
SW099,ට
SW100,ගේ
SW101,එ
SW102,ක
SW103,ක්
SW104,බවත්
SW105,බවද
SW106,මත
SW107,ඇතුලු
SW108,ඇතුළු
SW109,මෙසේ
SW110,වඩා
SW111,වඩාත්ම
SW112,නිති
SW113,නිතිත්
SW114,නිතොර
SW115,නිතර
SW116,ඉක්බිති
SW117,දැන්
SW118,යලි
SW119,පුන
SW120,ඉතින්
SW121,සිට
SW122,සිටන්
SW123,පටන්
SW124,තෙක්
SW125,දක්වා
SW126,සා
SW127,තාක්
SW128,තුවක්
SW129,පවා
SW130,ද
SW131,හෝ‍
SW132,වත්
SW133,විනා
SW134,හැර
SW135,මිස
SW136,මුත්
SW137,කිම
SW138,කිම්
SW139,ඇයි
SW140,මන්ද
SW141,හෙවත්
SW142,නොහොත්
SW143,පතා
SW144,පාසා
SW145,ගානෙ
SW146,තව
SW147,ඉතා
SW148,බොහෝ
SW149,වහා
SW150,සෙද
SW151,සැනින්
SW152,හනික
SW153,එම්බා
SW154,එම්බල
SW155,බොල
SW156,නම්
SW157,වනාහි
SW158,කලී
SW159,ඉඳුරා
SW160,අන්න
SW161,ඔන්න
SW162,මෙන්න
SW163,උදෙසා
SW164,පිණිස
SW165,සඳහා
SW166,අරබයා
SW167,නිසා
SW168,එනිසා
SW169,එබැවින්
SW170,බැවින්
SW171,හෙයින්
SW172,සේක්
SW173,සේක
SW174,ගැන
SW175,අනුව
SW176,පරිදි
SW177,විට
SW178,තෙක්
SW179,මෙතෙක්
SW180,මේතාක්
SW181,තුරු
SW182,තුරා
SW183,තුරාවට
SW184,තුලින්
SW185,නමුත්
SW186,එනමුත්
SW187,වස්
SW188,මෙන්
SW189,ලෙස
SW190,පරිදි
SW191,එහෙත්
