sentence_1,sentence_2,label
"ඔහු අවුරුදු 17 දී, එනම් වර්ෂ 1937දී, ඔහු මුලින්මඅහංගමපියදිගම සාරිපුත්ත විද්‍යාලයේ ගුරුවරයෙකු ලෙස කටයුතු කළේය. ඔහු සතුව තිබූ විශිෂ්ට කාව්‍ය දක්ෂතා නිසාකුමාරතුංග මුනිදාස මහතාඔහුට ""සුබස් පතිං කිවිති"" යන ගෞරව නාමය පිරිනැමීය.","බුද්ධත්වයෙන්අටවැනි වර්ෂයේ දී, බුදුන්වහන්සේ ලංකාවට තෙවන වරට වැඩම කලේ කැළණියේ නා රජුගේ ආරාධනයක් අනුව ය. එම ගමනේ දී සුමන සමන් දෙවියන් ගේ ආරාධනයෙන් සමනොළ ගිර සිරිපද සළකුණ පිහිටුවන්නට ඇතැයි ‍බෞද්ධයෝ විශ්වාස කරති. ඒ අනුව වන්දනාමාන පූජෝපහාර දක්වති.",0.05
"ඇවගාඩ්රෝ නියතයෙහි අගය සෙවිමේ පැරණිම නිවැරදි ක්‍රමය කූලෝමිතිය මත පදනම් විය. ෆැරඩේ නියතයF, එනම් ඉලෙක්ට්‍රෝන මෞලයක ආරෝපණය ගෙන එය ඉලෙක්ට්‍රෝනයක ආරෝපණයෙන් බෙදීම එම ඇවගාඩ්රෝ නියතය සෙවිමේ මූල ධර්මය යි.","ඇවගාඩ්රෝ නියතයෙහි අගය සෙවිමේ පැරණිම නිවැරදි ක්‍රමය කූලෝමිතිය මත පදනම් විය. ෆැරඩේ නියතයF, එනම් ඉලෙක්ට්‍රෝන මෞලයක ආරෝපණය ගෙන එය ඉලෙක්ට්‍රෝනයක ආරෝපණයෙන් බෙදීම එම ඇවගාඩ්රෝ නියතය සෙවිමේ මූල ධර්මය යි.",1.0
සාහිත්‍යය මගින් මිනිසාගේ චින්තනය සහ රසඥතාව වර්ධනය වේ,වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,0.0
"මෙහිn0{\displaystyle n_{0}}යනුපරිපූර්ණ වායූඅණු ඝනත්වය,p0{\displaystyle p_{0}}යනු පීඩනය, R යන වායු නියතය හාT0{\displaystyle T_{0}}යනු නිරපේක්ෂ උෂ්ණත්වය වේ.",බොහෝ අවස්ථාවලදී මිශ්‍රණය තුළ වන ‍බොහෝ සංයෝගවල තාපාංක ප්‍රමාණවත් තරම් ළගින් පිහිටන බැවින් රවුල්ගේ නියමය සැළකිල්ලට භාජනය කළයුතු වේ. භාගික ආසවනයේදී සංයෝග වෙන් කිරීමට වාෂ්පීකරණය - ඝනීභවනය යන ක්‍රියාවලි නැවත නැවත හොඳින් විභාජක කුළුනක සිදුකළ යුතුය.,0.57
"කුරුණෑගල යුගයේ දී පාලි ජාතකට්ඨකථාව ඇසුරින්බුදුන්වහන්සේගේපූර්ව ජන්ම කථා 547ක් ඇතුළත් කරමින්පන්සිය පනස් ජාතක පොතරචනා විය. බෞද්ධ සාහිත්‍යයේ විශිෂ්ට ගද්‍ය ග්‍රන්ථයක් ලෙස සැලකෙන මෙය කතුමඩුල්ලක් විසින් රචනා විය. මෙහි නිධාන කථා, වර්තමාන කථා, අතීත කථා, ගාථා සමෝධාන යන අංගවලින් යුතු පොදු ආකෘතියක් අනුගමනය කර තිබේ. ඇතැම් කථා සංස්කෘත තත්සම වචන බහුල සංකීර්ණ භාෂාවකින් ලියැවී ඇත.","ඉතහ සමීකරණය ධ්වනි තරංග සඳහා සත්‍ය වන්නේ මාධ්‍යයට සාපේක්ෂ ව ප්‍රභවයේ සහ ග්‍රාහකයේ වේග, ධ්වනි වේගයට වඩා අඩු වන විට දී පමණි.දෝංකාරයලිපිය ද බලන්න.",0.0
"පාඨයේ 67 සිට 78 දක්වා පරිච්ඡේදවල ''බලි'' (සත්ව බිලි පූජා) සහ වාමචර තන්ත්‍ර පිළිබඳ සාකච්ඡා කෙරෙන රුධිරාධ්‍යාය සමන්විත වේ.රුධිරාධ්‍යාය කොටස මනුෂ්‍ය බිලි පූජා පිළිබඳ එහි අසාමාන්‍ය සාකච්ඡාවන් කැපී පෙනේ. දේවතාවිය සතුටු කිරීම සඳහා මිනිස් බිලි පූජාවක් කළ හැකි නමුත් යුද්ධයකට හෝ ආසන්න අනතුරකට පෙර කුමරුගේ කැමැත්ත ඇතිව පමණක් කළ යුතු බව ලියවිල්ල තුළ සඳහන් වේ. කායික ආබාධිත, බ්‍රාහ්මණයෙකුට නෑකම් ඇති, හෝ යාගය හරහා ""මැරීමට අකමැති"" ඕනෑම අයෙකු චාරිත්‍රයට නුසුදුසු බව ද පෙළෙහි සඳහන් වේ.","බ්‍රහ්මන් යනු වෛදික වාක්‍යකි. බ්‍රහ්මන් වේදයේ යතුර ලෙසද දැක්වෙන අතර මුල් කාලීන උපනිෂද් තුළ එය පුළුල් ලෙස සාකච්ඡා කෙරේ.වේදයන් තුළ බ්‍රහ්මන් විශ්වීය මූලධර්මය ලෙස සංකල්පනය කරත්උපනිෂද් තුළ එය පරම සත්‍ය, පරම විඥානය සහ පරම ප්‍රමෝදයට ලෙසත් එසේම ආකාරයක් සහිත සහ වෙනස් නොවන, ස්ථිර, ඉහළම යථාර්ථය ලෙස දක්වා ඇත.",0.79
"මුල් කාලයේ දී ගුරු දෙගුරු සමිතිය වශයෙන් හැඳින්වූ දෙමාපිය සංවිධානය වර්තමානයේ ක්‍රියාත්මක වන්නේ පාසල් සංවර්ධන සමිතිය ලෙස ය. එය අමාත්‍යාංශ වක්‍රලේඛයක් යටතේ පාලනය වන අතර, පාසලට අවශ්‍ය විදුලිය, දුරකතන, තැපැල් සේවාව වැනි සේවාවන් සඳහා මූල්‍ය අනුග්‍රහය ලබා දීම සහ පාසලේ අභිවෘද්ධිය සඳහා අවශ්‍ය අවස්ථාවල දී මූල්‍යමය දායකත්වයන් දැක්වීම එමගින් සිදු කෙරේ.","ශ්‍රී ලංකා කෘෂිකර්ම දෙපාර්තමේන්තුව හා එහි ක්‍රියාකාරිත්වය සම්බන්ධව සමස්ත අදහසක් ගනු වස්ශ්‍රී ලංකා‍‍වේ කෘෂිකර්ම ‍‍දෙපාර්ත‍මේන්තුව(2007.04.25) වෙබ් අඩවිය නරඹන්න.මෙම වෙබ් අඩවිය රටේ ප්‍රධාන භාෂා තුන වන සිංහල, ඉංග්‍රීසි සහ දෙමළෙන් නැරඹිය හැක.",0.08
"බොහෝ බැක්ටීරියාවන් අණුක විද්‍යා අධ්‍යයනයේ දී ආදර්ශ ජීවීන් බවට පත්වී ඇත. අණුක තාක්ෂණය, වෛද්‍ය ක්ෂුද්‍ර ජීව විද්‍යාවේ සායනික ක්‍රියා මාර්ග මත සෘජුවම බලපෑම් ඇති කිරීමට සමත් වී ඇත.","2019 ජූලි වන විට, INF හට කලාප පහක පූර්ණ 53ක් සහ ආශ්‍රිත ජාතික සාමාජිකයින් 19ක් ඇත. සෑම කලාපයකටම INF කලාපීය සම්මේලනයක් ඇත.",0.05
තමා තුල ඇති හැකියාවන් දක්ෂතාවයන් සහ රුචි අරුචි කම් මෙන්ම තම චරිතයේ ප්ර බල සහ දුබල ස්ථාන පිළිබද දැන සිටිම වැදගත් වේ. දක්ෂතාවයන් හා හැකියාවන් දියුණු කර ගැනිමට දුර්වලතාවයන් මඟ හරවා ගැනීමට කටයුතු කිරිමටත් ස්වයං අවබෝධය ඉවහල් වෙයි.,තමා තුල ඇති හැකියාවන් දක්ෂතාවයන් සහ රුචි අරුචි කම් මෙන්ම තම චරිතයේ ප්ර බල,0.51
"1988 ආසියානු කුසලානය (විල්ස් ආසියානු කුසලානය ලෙසද හැඳින්වේ) 1988 ඔක්තෝබර් 26 සිට නොවැම්බර් 4 දක්වා කාලය තුළ බංග්ලාදේශයේ පැවති තුන්වන ආසියානු කුසලාන තරඟාවලිය වේ. තරඟාවලියට කණ්ඩායම් හතරක් සහභාගී විය: ඉන්දියාව, පකිස්ථානය, ශ්‍රී ලංකාව සහ සත්කාරක රට වන බංග්ලාදේශය . පළමු වරට ලැයිස්තුගත A වර්ගීකරණයේ තරග බංග්ලාදේශයේදී පැවැත්වූ අතර එවකට ජාත්‍යන්තර ක්‍රිකට් කවුන්සිලයේ (ICC) සහකාර සාමාජිකයෙකු වූ අතර ඔවුන්ගේ ප්‍රතිවාදීන් සියල්ලෝම පූර්ණ සාමාජිකයෝ වූහ.","1992-93 විල්ස් කුසලානය එක්දින ජාත්‍යන්තර (එක්දින) ක්‍රිකට් ත්‍රිත්ව තරගාවලියක් වන අතර එහිදී එක්සත් අරාබි එමීර් රාජ්‍යය විසින් පාකිස්තානය, ශ්‍රී ලංකාව සහ සිම්බාබ්වේ යන රටවලට සත්කාරකත්වය ලබා දුන්නේය. පාකිස්තානය සහ ශ්‍රී ලංකාව අවසන් මහා තරගයට පිවිසි අතර පාකිස්තානය ජයග්‍රහණය කළේය. තරඟයට එක්වන ලෙස ඉන්දියාවට ආරාධනා කළ නමුත් 1991-92 තරඟයේ විනිසුරුවන්ට විරෝධය පළ කරමින් එය ප්‍රතික්ෂේප විය.",0.72
"ඊශ්වර යන වචනයේ මූලය පැමිණෙන්නේ ඊශ් (ईश, Ish) යන අර්ථයෙන් ""හැකි"" සහ ""හිමිකරු, පාලකයා, ප්‍රධානියා"" යන්නයි.ඊශ්වර යන පදයේ දෙවන කොටස වර වන අතර එහි අර්ථයන් වන්නේ සන්දර්භය මත පදනම්ව, ""හොඳම, විශිෂ්ට, අලංංකාර"", ""තේරීම, කැමැත්ත, ආශීර්වාදය, වරප්‍රසාදය, තෑග්ග"", සහ ""ගැනුම්කරු, පෙම්වතා, විවාහ වීමට ගැහැණු ළමයෙකු ඉල්ලා සිටින තැනැත්තා"" යන්නයි.ඊශ්වර යන්න වචනාර්ථයෙන් ""හොඳම, අලංකාර හිමිකරු"", ""තේරීමේ පාලකයා, ආශීර්වාද, වරප්‍රසාද"", හෝ ""සුදුස්සන්ගේ ප්‍රධානියා, පෙම්වතා"" යන්නයි.","ඊශ්වර යන වචනයේ මූලය පැමිණෙන්නේ ඊශ් (ईश, Ish) යන අර්ථයෙන් ""හැකි"" සහ ""හිමිකරු, පාලකයා, ප්‍රධානියා"" යන්නයි.ඊශ්වර යන පදයේ දෙවන කොටස අතර වන කැමැත්ත, එහි අර්ථයන් වන්නේ සන්දර්භය මත පදනම්ව, ""හොඳම, විශිෂ්ට, අලංංකාර"", ""තේරීම, වර ආශීර්වාදය, වරප්‍රසාදය, තෑග්ග"", සහ ""ගැනුම්කරු, පෙම්වතා, විවාහ වීමට ගැහැණු ළමයෙකු ඉල්ලා සිටින තැනැත්තා"" යන්නයි.ඊශ්වර යන්න වචනාර්ථයෙන් ""හොඳම, අලංකාර හිමිකරු"", ""තේරීමේ පාලකයා, ආශීර්වාද, වරප්‍රසාද"", හෝ ""සුදුස්සන්ගේ ප්‍රධානියා, පෙම්වතා"" යන්නයි.",0.6
පාසලේ ලාංඡනයක් භාවිත කළ බවට මුල්ම සඳහන සැපයෙන්නේ ඊ. ඒ. විජේසූරිය විදුහල්පතිවරයාගේ සමයෙනි. එම ලාංඡනය වෙනස් කර ඩී. ටී. විජේරත්න විදුහල්පතිවරයා හඳුන්වාදෙන ලද ලාංඡනය වර්තමානයේ ද භාවිත වේ.,1960 දී පාසල රජයේ පාසලක් බවට පත් වූ අතර තවත් නව ගොඩනැගිල්ලක් පාසල් භූමියට එක් විය. 1968 දී පාසල් දන්ත ශල්‍යකර්ම ඒකකය සිරිමාවෝ බණ්ඩාරනායක අගමැතිනිය විසින් විවෘත කරන ලදී.,0.73
"මෙකල කවියෝ බොහෝදෙනෙක්අධිරාජ්‍යවාදයටත්, යටත් විජිත සමයේ සංස්කෘතික පරිහානියටත් එරෙහි ව කවිය අවියක් කරගත්හ. ඇස්. මහින්ද හිමි අධිරාජ්‍යවාදයට එරෙහි ව දැඩි උද්වේගකර කාව්‍ය රචනා කළේ ය. ඒ අතර ම කුමාරතුංග මුනිදාස, ඇස්. මහින්ද හිමි, ආනන්ද රාජකරුණා වැනි කවියෝ ලාංකීය ළමා සාහිත්‍යයක් ගොඩනැගීම සදහා ද කවිය උපයෝගී කරගත්හ.","නවයොවුන් පාඨකයන් එනම් වයස 12ත් 18ත් අතර පිරිස් ඉළක්ක කරගනිමින් රචනා වන ප්‍රබන්ධ යොවුන් සාහිත්‍යය (young adult fiction) යනුවෙන් හැඳින්වෙන අතර ශ්‍රී ලංකාවේ යොවුන් සාහිත්‍යය කෘති ලෙස මාර්ටින් වික්‍රමසිංහයන්ගේ මඩොල්දූව, පීටර් පෙරේරා පියතුමන්ගේ පාලු දූපත, කුලසේන ෆොන්සේකාගේ තුන් යහළු වික්‍රමය සහ ආරියනන්ද දොඹගහවත්තගේ බෙරගල කන්දේ නිධානය වැනි කෘති හඳුනාගත හැකි ය.",0.7
"දිසානායක පාසල් කාලයේ සිටම ජවිපෙට සම්බන්ධ වූ අතර 1995 ජවිපෙ දේශපාලන මණ්ඩලයට බැඳීමට පෙර විශ්ව විද්‍යාලයේ ශිෂ්‍ය දේශපාලනයේ ක්‍රියාකාරී විය. ඔහු 2000 සැප්තැම්බර් මාසයේ සිට ජාතික ලැයිස්තුවෙන් පත්වී හෝ තේරී පත්වී පාර්ලිමේන්තු මන්ත්‍රීවරයෙකු ලෙස කටයුතු කරයි. 2004 සිට 2005 දක්වා කෘෂිකර්ම, පශු සම්පත්, ඉඩම් සහ වාරිමාර්ග අමාත්‍යවරයා ලෙසත් 2015 සිට 2018 දක්වා විපක්ෂයේ ප්‍රධාන සංවිධායක ලෙසත් කටයුතු කර ඇත. 2014 පෙබරවාරි 2 වැනි දින පැවති ජවිපෙ 17 වැනි ජාතික සම්මේලනයේදී ඔහු ජවිපෙ නායකයා ලෙස නම් කරන ලදී.",දිසානායක පාසල් කාලයේ සිටම ජවිපෙට සම්බන්ධ වූ අතර 1995 ජවිපෙ දේශපාලන මණ්ඩලයට බැඳීමට පෙර විශ්ව විද්‍යාලයේ ශිෂ්‍ය දේශපාලනයේ ක්‍රියාකාරී විය. ඔහු 2000 සැප්තැම්බර් මාසයේ සිට ජාතික ලැයිස්තුවෙන් පත්වී හෝ තේරී පත්වී පාර්ලිමේන්තු,0.52
"ක්‍රිස්තු පූර්ව 1500 තරම් පැරණි, ශ්‍රී ලංකාවට ආවේණිකකුරුඳුපුරාණ ඊජිප්තුවෙන්හමු වී ඇති අතර එමඟින් ශ්‍රී ලංකාව හාඊජිප්තුවඅතර ඈත අතීතයේ පටන් පැවති වෙළඳාම පිළිබඳව අදහසක් ලබා ගත හැකිය.","ක්‍රිස්තු පූර්ව 1500 තරම් පැරණි, ශ්‍රී ලංකාවට ආවේණිකකුරුඳුපුරාණ ඊජිප්තුවෙන්හමු වී ඇති අතර එමඟින්",0.55
"2001 මැතිවරණයෙහිදී,එක්සත් ජාතික පක්ෂය(එජාප) විසින් පොදු පෙරමුණ පරාජය කිරීමත් සමගින් රජයේ ඔහුගේ තනතුරු රාජපක්ෂ මහතාට අහිමි විය. කෙසේවෙතත් 2002 මාර්තු මාසයෙහිදී ඔහුවිපක්ෂ නායකලෙසින් පත් කෙරිණි.","2001 මැතිවරණයෙහිදී,එක්සත් ජාතික පක්ෂය(එජාප) විසින් පොදු පෙරමුණ පරාජය කිරීමත් සමගින් රජයේ ඔහුගේ තනතුරු රාජපක්ෂ මහතාට අහිමි විය. කෙසේවෙතත් 2002 මාර්තු මාසයෙහිදී ඔහුවිපක්ෂ නායකලෙසින් පත් කෙරිණි.",1.0
අනන්ත සලකුණෙහි (∞) නියම මූලයන් අපැහැදිලිය. මෙම සංකේතය ඉංග්‍රීසි භාෂාවෙන් “lemniscate” ලෙස ද හැඳින්වෙන අතර එම වදන “පටිය” යන අරුත ඇති “lemniscus” නම් ලතින් වදනින් බිදී ආවකි. මෙය අනන්තය හඟවන සංකේතයේ ආරම්භය සිදු වූ එක් ආකාරයක් විය හැක.,අනන්ත සලකුණෙහි (∞) නියම මූලයන් අපැහැදිලිය. මෙම සංකේතය ඉංග්‍රීසි භාෂාවෙන් “lemniscate” ලෙස ද හැඳින්වෙන අතර එම වදන “පටිය” යන අරුත ඇති,0.57
හෙප්ටැත්ලොන් කාණ්ඩ දෙකකි. පළමු වර්ගය කාන්තාවන් සඳහා වන එලිමහන් තරඟයක් වන අතර එය ඔලිම්පික් තරඟ හා අන්තර්ජාතික මළල ක්‍රීඩා සම්මේලන ශූරතාවය සඳහා පවත්වන තරඟ එකතුවකි. අන්තර්ජාතික මළල ක්‍රීඩා සම්මේලන ශූරතාවය සඳහා මෙය අවුරුදු පතා පැවැත්වේ. පහත දැක්වෙන තරඟ ඉසව් මේ සඳහා පවත්වන අතර පළමු ඉසව් හතර පළමු දිනයේ දී ද දෙවන ඉසව් 3 දෙවන දිනයේ දී ද පැවැත්වේ.,"මෙම ඉසව්වේ මූලික චලනය වන්නේ පෙරත් පැති ඉඟ සහ උරහිස අතර පැත්තෙන් පැත්තට කරන සංචලනයයි. දකුණත් තරඟකරුවෙකු දබර ඇඟිල්ලෙන් හා මැදඟිල්ලෙන් දක්ෂිණාවර්තව හා වාමාවර්තව කවපෙත්ත කරකවයි. උපරිම ගම්‍යතාවයක් ලබාගැනීමට අමතරව, කවපෙත්ත යම් දුරකට විසි කිරීමේදී, එය විසිකරන පරාවක්‍රය මතද, කවපෙත්තේ වායුගතික හැසිරීම මතද එට වීසි වන දුර රඳා පවතී.",0.78
