sentence_1,sentence_2,label
පරිසරය සුරැකීම අප සැමගේ වගකීමකි,ස්වභාවධර්මය ආරක්ෂා කිරීම අප සැමගේ යුතුකමක් වේ,0.8
ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,ලංකාව යනු ඉන්දීය සාගරයේ පිහිටා ඇති දූපතක් වන රටකි,0.7
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,ඉන්ටර්නෙට් භාවිතයෙන් අවශ්‍ය තොරතුරු වේගයෙන් සෙවිය හැක,0.6
නිසි වේලාවට ආහාර ගැනීම ලෙඩ රෝගවලින් ආරක්ෂා වීමට මගකි,කාලයට කෑම බීම ගැනීමෙන් රෝග වැළඳීම වැළැක්විය හැක,0.8
මහනුවර නගරය කඳුකර ප්‍රදේශයේ පිහිටා ඇත,නුවර නගරය ශ්‍රී ලංකාවේ මධ්‍යම කඳුකරයේ පිහිටා ඇත,0.6
කෘතිම බුද්ධිය අනාගත ලෝකයේ ප්‍රධාන තාක්ෂණයකි,AI තාක්ෂණය අනාගතයේ වැදගත් භූමිකාවක් ඉටු කරනු ඇත,0.7
ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,වන විනාශය හේතුවෙන් ගෝලීය උෂ්ණත්වය ඉහළ යයි,0.6
අනුරාධපුරය පැරණි රජදහනක් ලෙස හැඳින්වේ,අනුරාධපුරය ශ්‍රී ලංකාවේ පුරාණ අගනුවරක් විය,0.8
ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,ශ්‍රී ලංකාවේ ඉතිහාසය දිගු කාලයකට පැතිරී ඇත,0.7
සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,සෞඛ්‍යය රැකගැනීමට ප්‍රමාණවත් ජලය පානය කළ යුතුය,0.8
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,රටක දියුණුව සඳහා අධ්‍යාපනය අත්‍යවශ්‍ය වේ,0.8
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,0.6
සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,1.0
වන සතුන් ආරක්ෂා කිරීම ජෛව විවිධත්වය රැක ගැනීමට අත්‍යවශ්‍ය වේ,සතුන් සුරැකීමෙන් ස්වභාවධර්මයේ සමතුලිතතාවය ආරක්ෂා කර ගත හැක,0.6
සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,මුහුදට අපද්‍රව්‍ය බැහැර කිරීම නිසා සාගර සතුන්ගේ ජීවිත අනතුරේ වැටේ,0.7
හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,සූර්ය බලශක්තිය භාවිත කිරීමෙන් සොබාදහමට හානියක් නොවන සේ බලශක්තිය නිපදවිය හැක,0.7
ක්‍රීඩාව නිරෝගී දිවියකට මෙන්ම මානසික සහනයටද වැදගත් වේ,කය වෙහෙසා ක්‍රීඩා කිරීම ශාරීරික සෞඛ්‍යයට මෙන්ම මනසටද හිතකර වේ,0.8
සංචාරක කර්මාන්තය ශ්‍රී ලංකාවේ ආර්ථිකයට විශාල ශක්තියකි,ටියුරිසම් ක්ෂේත්‍රය මගින් ලංකාවට විශාල විදේශ විනිමයක් ලැබේ,0.6
සමාජ මාධ්‍ය භාවිතය පුද්ගල සබඳතා කෙරෙහි බලපෑම් ඇති කරයි,ෆේස්බුක් වැනි සමාජ ජාල නිසා මිනිසුන් අතර පවතින සබඳතා වෙනස් වී ඇත,0.5
ගොවිතැන අපේ රටේ ප්‍රධාන ජීවනෝපාය මාර්ගයයි,කෘෂිකර්මාන්තය ශ්‍රී ලාංකිකයන්ගේ ප්‍රධානම ආදායම් මාර්ගය ලෙස සැලකේ,0.7
පොත් කියවීම දැනුම ලබා ගැනීමට ඇති හොඳම මාර්ගයයි,කෘති කියවීමෙන් පුද්ගලයෙකුට තම බුද්ධිය වර්ධනය කර ගත හැක,0.6
දුම්රිය සේවය පොදු ප්‍රවාහනයේ වැදගත් අංගයකි,මිනිසුන් ගමන් බිමන් සඳහා දුම්රිය භාවිත කිරීම ඉතා පහසු ක්‍රමයකි,0.5
සාමය සහ සංහිඳියාව රටක දියුණුවට අත්‍යවශ්‍ය සාධක වේ,රටක් දියුණු වීමට නම් මිනිසුන් අතර එකමුතුකම සහ සාමය තිබිය යුතුය,0.8
ජල සම්පත් සුරැකීම පරිසරය රැක ගැනීමට වැදගත් වේ,ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,0.6
කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,චිත්‍ර කලාව සහ සංගීතය මගින් සමාජයේ සංස්කෘතික වටිනාකම් ප්‍රචාරය කරයි,0.7
විදුලි බලය ජන ජීවිතයේ අත්‍යවශ්‍ය කොටසක් වී ඇත,විදුලිය නොමැතිව අද දිනයේ ජීවිතය කල්පනා කළ නොහැක,0.8
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,රටක දියුණුව සඳහා ඉගෙනුම් ක්‍රියාවලිය අත්‍යවශ්‍ය සාධකයකි,0.8
