sentence1,sentence2,score
රටේ ආර්ථිකය දියුණු වීමෙන් මිනිසුන්ගේ ජීවන තත්ත්වය උසස් වේ,"ද්‍රව්‍ය පිළිබඳ ලදදැනුමහා අවබෝධයත්, ඒ ඇසුරින් නිර්මාණය කරගත් පරිකල්පිත දැනුමත් විද්‍යාව නම් වේ",0.25
තාක්ෂණික දියුණුව වැඩිවීම නිසා වැඩ කාර්යක්ෂමතාව ඉහළ යයි,තාක්ෂණික දියුණුව වැඩිවීම හේතුවෙන් වැඩ කාර්යක්ෂමතාව ඉහළ යයි,0.84
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික කලාගාරයකි,ලොවක් හඳුනන පුරාණ කලාගාරයක් ලෙස සීගිරි පර්වතය හැඳින්විය හැක,0.7
කෘතිම බුද්ධිය අනාගත ලෝකයේ ප්‍රධාන තාක්ෂණයකි,කෘතිම බුද්ධිය අනාගත ලෝකයේ ප්‍රධාන තාක්ෂණයකි,1.0
ඔලිම්පික් උළෙල ලොව විශාලතම ක්‍රීඩා උත්සවය ලෙස සැලකේ,රට තුළ පවතින කර්මාන්ත දියුණු කිරීමෙන් නිෂ්පාදන ප්‍රමාණය වැඩි කර ගත හැකිය,0.03
ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,1.0
පිටරටින් පැමිණෙන ආයෝජන හරහා රටකට අලුත් දැනුම සහ ධනය එකතු වේ,පාරිසරික සමතුලිතතාවය රැක ගැනීම මතු පරපුර වෙනුවෙන් කරන ආයෝජනයකි,0.27
ඉර වටා කක්ෂගතව භ්‍රමණය වන එක් ග්‍රහයෙක් වන්නේ අප ජීවත් වන පෘථිවියයි,ඉර වටා කක්ෂගතව භ්‍රමණය වන එක් ග්‍රහයෙක් වන්නේ අප ජීවත් වන පෘථිවියයි,1.0
තාක්ෂණික දියුණුව වැඩිවීම නිසා වැඩ කාර්යක්ෂමතාව ඉහළ යයි,නවීන තාක්ෂණය භාවිතයෙන් කාර්යයන් වඩාත් වේගවත්ව සිදු කළ හැක,0.7
මහජන ප්‍රවාහන සේවා අතර දුම්රිය ගමනාගමනයට වැඩි ඉල්ලුමක් පවතී,නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,0.23
ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,1.0
වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,බැංකු ක්ෂේත්‍රය ඩිජිටල්කරණය වීම නිසා මුදල් ගනුදෙනු පහසු වී ඇත,0.0
ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,0.0
